complaint_number,name,phone,aadhaar,address,complaint_text,complaint_type,assignee,sla_date,sla_days,support_level_1,support_level_2,status,submission_time,mandal,village
AP-2025-220682,Rajamma,987909765.0,,"Errupalem, Khammam","For the past few days in our village, the drinking water supply has not been proper. Water comes only once in three to four days. Many houses are not getting enough water. Especially the elderly, children, and women are facing a lot of trouble. Additionally, in some areas, the water pipes are leaking, which is causing wastage of water. We request you to discuss this with the Panchayat and ensure that water is supplied equally throughout the village.",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 12:04:59,Khammam,Unknown
AP-2025-868789,Venkataramana,878980989.0,,Venkatapuram Village. Chennuru Mandal Mancherial District,"The main road in our Venkatapuram village is in a very pathetic condition. During the rainy season, potholes have formed, and a lot of mud accumulates. Because of this, it is becoming difficult to drive vehicles. Especially students, the elderly, pregnant women, and employees are facing severe or great difficulty in traveling. We kindly request you to take note of this problem and get this village road repaired immediately. If the road is in good condition, it will be possible for the village pe",Village road/drain repair needed,Panchayat Secretary,2025-11-08,30,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 12:06:14,Unknown,Unknown
AP-2025-668011,Sagar,6755678989.0,,"Vemavaram village, Errupalem village",The electricity bill that my house received recently is more than usual. It seems that the meter is not working properly. Or there was some mistake in the calculation. Please check my meter and I humbly request you to give the correct bill. Thank you.,Billing dispute/meter error,AE (DISCOM Operations),2025-10-24,15,ADE (DISCOM),Line Inspector,Registered,2025-10-09 12:14:05,Errupalem village,Unknown
AP-2025-452962,Venkataramana,878980989.0,,"Venkatapuram Village, Chennuru Mandal, Mancherial District","The main road in our Venkatapuram village is in a very pathetic condition. During the rainy season, potholes have formed, and a lot of mud accumulates. Because of this, it is becoming difficult to drive vehicles. Especially students, the elderly, pregnant women, and employees are facing severe difficulties in commuting. We request you to please take note of this problem and get this village road repaired immediately. If the road is in good condition, it will be possible for the villagers to trav",Village road/drain repair needed,Panchayat Secretary,2025-11-08,30,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 15:05:15,Mancherial District,Chennuru Mandal
AP-2025-143921,Venkataramana Konda,9879097656.0,,"Aryanagar Street, Errupalem village, Khammam Mandal","the drinking water has not been coming to our street for the past fifteen days. Because of this, we are all facing a lot of trouble. Please, we hope that you will immediately resolve our water problem. Thank you.",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 15:06:13,Khammam,Errupalem village
AP-2025-630552,Surender Babu,779984444.0,,"Gunayanagarwada, Anakapalli village, Chittoor Mandal","for the past 15 days, streetlights have not been working in our street. Therefore, it is very dark in the evening. Especially women, children, and the elderly are very afraid to walk. I hope you will resolve our street light problem. Thank you.",Streetlights not working,Panchayat Secretary,2025-10-16,7,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 15:07:52,Chittoor,Anakapalli village
AP-2025-684274,Venkataramana,878980989.0,,"Venkatapuram Village, Chennuru Mandal, Mancherial District","The main road in our Venkatapuram village is in a very pathetic condition. During the rainy season, potholes have formed, and a lot of mud is accumulating. Because of this, it is becoming difficult to drive vehicles. Especially students, the elderly, pregnant women, and employees are facing severe difficulties while traveling. We request you to please take note of this problem and get this village road repaired immediately. If the road is in good condition, it will be possible for the village pe",Village road/drain repair needed,Panchayat Secretary,2025-11-08,30,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 15:19:33,Mancherial District,Chennuru Mandal
AP-2025-516761,Venkataramana Konda,9879097656.0,,"Aryanagar Street, Errupalem village, Khammam Mandal","the drinking water has not been coming to our street for the past fifteen days. Because of this, we are all facing a lot of trouble. Please, we hope that you will immediately resolve our water problem. Thank you.",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 15:21:20,Khammam,Errupalem village
AP-2025-626367,Surender Babu,7799870666.0,,"Vinayak Nagar Wada, Anakapalli village, Chittoor Mandal","for the past 15 days, the street lights in our street have not been working. Therefore, it is very dark in the evening. Especially women, children, and the elderly are very afraid to walk. I hope you will solve our street light problem. Thank you.",Streetlights not working,Panchayat Secretary,2025-10-16,7,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 15:23:16,Chittoor,Anakapalli village
AP-2025-379448,Venkataramana,878980989,,"Venkatapuram Village, Chennuru Mandal, Mancherial District","The main road in our Venkatapuram village is in a very pathetic condition. During the rainy season, potholes have formed, and a lot of mud accumulates. Due to this, it is becoming difficult to drive vehicles. Especially students, the elderly, pregnant women, and employees are facing severe difficulties in traveling. We request you to please take note of this problem and get this village road repaired immediately. If the road is in good condition, it will be possible for the villagers to travel s",Village road/drain repair needed,Panchayat Secretary,2025-11-08,30,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 18:05:29,Mancherial District,Chennuru Mandal
